,logo,Team,League,Elo,Current Elo,Avg Wins,Avg Losses,Make Playoffs %,Win Division %,Win World Series %
0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/BAL.png&h=60,Orioles,AL East,"[1491.7120868467823, 1493.6444240509177, 1491.5577615883055, 1489.500248444805, 1492.4713563618643, 1489.5141894408694, 1486.598280902512, 1488.7232846558713, 1491.9830623348198, 1495.200021763141, 1493.3742710753513, 1491.5728141317563, 1494.1452357244893, 1491.680655093012, 1489.2515260042455, 1486.857310684519, 1489.985562556027, 1488.0714511884046, 1491.1833050883238, 1489.150221396237, 1492.1453126746244, 1490.0988538004392, 1492.7303256001608, 1490.3240049932572, 1487.9522453493826, 1490.1646614378876, 1492.3457072735582, 1489.495927234508, 1492.5679644498912, 1490.5979403632311, 1488.6549270209316, 1490.8848493446837, 1493.0831006920907, 1490.250226735736, 1492.457481914552, 1494.980699066147, 1492.4676049912266, 1494.9906764725233, 1496.8384227574297, 1498.6614573967295, 1500.837175875141, 1502.9821616030292, 1505.0969554673252, 1507.6230348819845, 1505.1127620955021, 1507.6386140590355, 1509.7356673201602, 1506.8033840714597, 1508.9121539872701, 1510.991377051212]",1511,84,78,41.0,1.0,0.8
1,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/BOS.png&h=60,Red Sox,AL East,"[1509.6767136239841, 1511.7010092972919, 1508.697291182094, 1510.7351859821633, 1512.8175392809992, 1509.8708210662196, 1507.7696202223394, 1505.6978304373372, 1503.6549210062142, 1501.6403663218327, 1499.0679447290997, 1501.532525360577, 1503.9616544493435, 1506.35586976907, 1504.1709696502737, 1502.0169626602035, 1499.8933069412128, 1502.7648864035086, 1505.5959576151708, 1508.386917933072, 1505.7554461333505, 1508.161766740254, 1510.5335263841287, 1507.3680859744804, 1504.2451739640455, 1501.1645991888813, 1503.2940815703253, 1505.3936472301596, 1507.46383121038, 1505.330368431373, 1503.2268931571318, 1501.1528697809013, 1499.107767228134, 1501.4745925874674, 1503.8074799783378, 1506.1069764149972, 1503.3736300819398, 1505.7784260364222, 1503.148684796766, 1505.5567134370758, 1508.2933871523499, 1505.990974878993, 1508.7214536267666, 1506.1953742121073, 1508.7056469985896, 1506.1797950350563, 1503.8600018058332, 1506.5733857139967, 1509.2479567796652, 1512.1696816149213]",1512,82,80,28.999999999999996,1.0,0.7000000000000001
2,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/NYY.png&h=60,Yankees,AL East,"[1566.2350415582316, 1563.400994485711, 1560.6070883911568, 1562.8529058145393, 1564.320705932988, 1565.7710449324513, 1567.8722457763315, 1569.9440355613337, 1571.9869449924568, 1574.0014996768382, 1571.3466821923153, 1573.7299571696617, 1576.079032883366, 1572.950781011858, 1574.8648923794804, 1571.7530384795612, 1573.317909472688, 1574.8634766476769, 1571.3901080011642, 1567.9594747179578, 1570.1255819466585, 1567.261124915048, 1569.4371081865752, 1571.4382253482966, 1568.4117555479143, 1570.427057657389, 1567.3550204420058, 1569.3250445286658, 1571.2680578709653, 1568.5923829853766, 1570.9550624980009, 1573.2838702986526, 1570.1816342635238, 1567.121629436684, 1569.1036133143916, 1571.0583643359485, 1567.8930515440372, 1569.7702666327145, 1571.6222119423494, 1569.0261414744507, 1571.4673949485116, 1568.8735492617166, 1565.7726064332032, 1562.713887901191, 1564.6971501494224, 1566.419605160386, 1563.1197394250328, 1559.8627568121788, 1556.648586603739, 1553.944333417535]",1554,89,73,75.0,4.0,4.1000000000000005
3,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/tb.png&h=60,Rays,AL East,"[1561.0333217266202, 1563.483221612097, 1560.162383246333, 1561.8844476075749, 1563.5841987053334, 1561.280663494488, 1559.0100378680236, 1556.7717734443759, 1559.2387881944192, 1561.6703149639934, 1559.066891182254, 1556.5008899591028, 1558.883616436064, 1556.232152320668, 1553.6187380098208, 1556.4010676439634, 1554.1437987640497, 1551.9186660112603, 1549.0470865489644, 1546.2160153373022, 1543.425055019401, 1545.264062684251, 1547.078524607358, 1548.8689076464648, 1550.3932111161541, 1551.8989833411408, 1553.3865761421182, 1555.2060166006836, 1557.0012833884045, 1558.7728371596722, 1560.9062999386792, 1563.0097752129204, 1565.083798589151, 1567.1289011419183, 1564.561668425424, 1562.0313664261748, 1564.5374769036011, 1561.1563437971515, 1562.8181134916597, 1564.4587254239357, 1566.4358571621285, 1568.3858460865388, 1570.3091976003004, 1572.926499904562, 1570.5061953854727, 1568.1206687559172, 1569.9934553975731, 1571.8410559941117, 1573.663947709555, 1570.4626000728038]",1570,101,61,100.0,69.0,13.0
4,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/TOR.png&h=60,Blue Jays,AL East,"[1551.4824587545377, 1554.0697643809292, 1551.6198644954525, 1553.7065269580646, 1555.7640401015651, 1552.7929321845058, 1555.0058594032307, 1552.1874075571097, 1549.7203928070664, 1547.2888660374922, 1549.8922898192316, 1552.4582910423828, 1555.1131085269058, 1552.7298335495593, 1550.380757835855, 1552.5656579546514, 1554.7196649447217, 1556.8433206637123, 1558.8764043557992, 1555.8813130774117, 1557.927771951597, 1560.3049021340921, 1557.6479303605677, 1555.0290783740288, 1551.7247035841544, 1553.4632169706326, 1555.1791021017132, 1556.872792342714, 1558.832124775095, 1555.7646455009449, 1557.7392003541845, 1559.4422871073623, 1561.1234242012272, 1557.783032322465, 1560.3502650389594, 1562.8805670382085, 1560.3744565607822, 1557.9943370760752, 1560.648366930273, 1558.2643143283924, 1560.860384796291, 1558.4191313222302, 1561.0129770090252, 1562.97358644472, 1564.9073603778386, 1566.8148001312154, 1569.048914931235, 1571.2512870733724, 1568.4224625039446, 1565.5007376686885]",1566,96,66,96.0,25.0,8.1
5,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/CHW.png&h=60,White Sox,AL Central,"[1516.029509355679, 1513.1221178147046, 1515.6977090958535, 1512.586080493045, 1514.5167323117607, 1516.4211084420674, 1514.000375030569, 1511.61442613086, 1509.262718725754, 1506.2154968270027, 1503.2101834894129, 1500.246494524444, 1497.5977474021029, 1494.9870154126277, 1497.4138033177653, 1500.0298896192244, 1497.608385144125, 1500.2216770816506, 1502.5701123763035, 1504.8849048125319, 1502.1666021656013, 1505.32223766959, 1503.4353855925503, 1501.5739853294785, 1504.7375555827957, 1502.3458740108251, 1504.9885242412977, 1502.5932374970052, 1499.544979594163, 1501.5386368628554, 1498.5048450476206, 1500.908366343535, 1498.2773703344787, 1495.6841605425698, 1493.1609433909748, 1495.6740374658953, 1493.1509659845985, 1490.657343332689, 1493.199602783543, 1490.705280195905, 1488.7281484577122, 1486.778159533302, 1484.8548080195403, 1482.8941985838455, 1480.960424650727, 1479.0529848973501, 1477.1801982556942, 1475.3325976591557, 1473.5097059437123, 1476.7110535804636]",1477,72,90,2.0,1.0,0.0
6,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/CLE.png&h=60,Guardians,AL Central,"[1521.054970161824, 1523.3834540070704, 1525.6786186359366, 1527.9410123102048, 1525.1711833317036, 1527.44081561121, 1529.8615490227082, 1532.2474979224173, 1534.5992053275234, 1536.4884469834249, 1538.352191728031, 1540.1909215516146, 1537.8081950746534, 1540.4596591900493, 1543.0730735008965, 1544.8977875751143, 1541.698227624874, 1543.541322637737, 1540.3597942889212, 1542.220857030126, 1544.0569556487474, 1541.5425827691133, 1544.064393912146, 1546.5499139908613, 1548.9996711643041, 1550.8521307082501, 1547.6797891964147, 1549.5500036302458, 1546.9337345937397, 1544.3550587464347, 1546.8134708759817, 1549.4891457615704, 1547.1264662489461, 1544.7976584482944, 1546.322628576445, 1547.8290547893043, 1544.3172891752008, 1541.1478533101729, 1538.0209619121435, 1539.936427182124, 1536.8344759623917, 1533.7747544315166, 1535.7570198626279, 1532.551191315673, 1529.388038339667, 1531.2674044162854, 1533.5871976455085, 1530.873813737345, 1528.1992426716765, 1530.9034958578804]",1531,87,75,76.0,71.0,2.7
7,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/DET.png&h=60,Tigers,AL Central,"[1433.2986976982327, 1431.8275756199685, 1430.3739773474726, 1428.937572560376, 1432.0492011631845, 1430.1185493444689, 1428.2141732141622, 1431.1713401351572, 1434.0872486735145, 1431.9622449201552, 1435.0094668189065, 1438.0147801564963, 1440.9784691214652, 1443.5758481078942, 1446.13588555395, 1448.6590919786333, 1446.400993791382, 1449.1750457470807, 1451.9095898145451, 1455.0266897864797, 1453.101481472129, 1451.2024467856459, 1449.3290936579654, 1447.4900859931154, 1445.6756240700083, 1443.8852410309016, 1447.3961928023098, 1450.8645378094377, 1449.290132958107, 1447.160650576663, 1445.0610849168288, 1442.9909009366083, 1441.2878141834306, 1439.6066770895657, 1442.9470689683278, 1445.9736616861792, 1448.958481661124, 1452.127917526152, 1455.2548089241814, 1453.339343654201, 1451.1636251757895, 1449.0186394479013, 1446.9038455836053, 1450.0270843785245, 1453.1079843304651, 1451.1467712834217, 1449.049718022297, 1451.9820012709974, 1449.873231355187, 1447.794008291245]",1448,69,93,1.0,0.0,0.0
8,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/KC.png&h=60,Royals,AL Central,"[1447.0643450691477, 1444.892026821711, 1442.7503817874517, 1440.726086114144, 1443.7298042293419, 1441.6919094292725, 1444.5429028294054, 1447.353586617569, 1450.124369357821, 1453.2755431698301, 1451.3842486249746, 1454.5184897216138, 1451.9211107351848, 1449.361073289129, 1446.8378668644457, 1445.0131527902279, 1448.212712740468, 1446.3696177276051, 1449.551146076421, 1447.6900833352163, 1445.8539847165948, 1443.5788367791329, 1441.3361259273636, 1439.125304290848, 1442.4296790807223, 1440.691165694244, 1438.9752805631636, 1437.2815903221626, 1440.3790124651932, 1443.4342292948086, 1441.4474870759232, 1438.9691246344453, 1436.5264192018144, 1439.1188350299449, 1437.562268071261, 1436.0248465513137, 1434.506205764982, 1432.131997170833, 1429.7918441412014, 1427.4852000526735, 1425.330295188802, 1428.205757433117, 1426.0406747345212, 1423.8758722671232, 1426.7416111396064, 1424.5668974192686, 1422.5174091465094, 1420.496395725032, 1423.5033357988852, 1421.4686398642502]",1421,58,104,0.0,0.0,0.0
9,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/MIN.png&h=60,Twins,AL Central,"[1497.181139950954, 1494.8526561057076, 1492.5574914768415, 1490.2950978025733, 1493.0649267810745, 1490.7952945015682, 1487.9443011014353, 1485.1336173132718, 1482.3628345730197, 1479.7450820181205, 1482.164942223433, 1479.5500314015342, 1482.1987785238753, 1484.8095105133505, 1482.3827226082128, 1484.6408207954642, 1481.8667688397654, 1479.132224772301, 1476.783789477648, 1474.4689970414197, 1477.1872996883503, 1479.4624476258123, 1481.7051584775816, 1483.9159801140972, 1486.1109092626277, 1483.2747707637043, 1480.4787943019737, 1483.7253214341408, 1486.9290595422885, 1485.0901288596972, 1482.686607563783, 1485.317603572839, 1487.910813364748, 1491.0130493998768, 1494.0730542267165, 1492.091070349009, 1490.1363193274522, 1487.7315233729698, 1490.361264612626, 1487.9532359723162, 1484.8236148402202, 1481.7363635234326, 1483.6912613203679, 1486.7922041488812, 1489.8509226808935, 1487.867660432662, 1489.9171487054211, 1491.9381621268985, 1488.9312220530453, 1490.9659179876803]",1491,82,80,35.0,28.000000000000004,0.1
10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/HOU.png&h=60,Astros,AL West,"[1588.2185865613333, 1589.6549913484298, 1591.2410323688896, 1592.8073653405565, 1589.3543665991365, 1590.9441581055742, 1593.2476933164196, 1595.518318942884, 1597.7565833665317, 1594.4968056875832, 1591.279846259262, 1593.1055969470517, 1594.9070538906467, 1596.4748938294267, 1593.0233732983681, 1590.2410436642256, 1592.4983125441393, 1594.7234452969287, 1591.617131325342, 1593.5530701422051, 1595.4626342409429, 1592.306998736954, 1594.1938508139938, 1596.0552510770656, 1592.8916808237484, 1589.3807290523403, 1585.9123840452123, 1587.486788896543, 1584.2402617643759, 1581.0365236562282, 1582.8754543388195, 1584.336731767958, 1580.7806710719133, 1582.267015029412, 1578.8387145859658, 1580.4532571932195, 1577.04754666174, 1579.4276661464469, 1576.7736362922492, 1579.1576888941297, 1581.682340056469, 1584.170659451964, 1586.6231746793703, 1584.0058723751088, 1586.426176894198, 1588.8117035237535, 1585.707138184243, 1582.644816419584, 1584.6244975536683, 1586.5895645828457]",1587,100,62,99.0,96.0,17.0
11,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/LAA.png&h=60,Angels,AL West,"[1463.768126087428, 1461.6800561901025, 1464.8319623176872, 1467.9413969052682, 1471.008562411419, 1469.0336956755198, 1471.3604628334942, 1468.6539387879186, 1465.98614566107, 1468.6038982159691, 1466.1840380106566, 1468.7989488325554, 1471.2271125092864, 1473.6203772437184, 1475.9792852918574, 1478.2343982955413, 1480.4574116330216, 1482.648872407774, 1479.9221494275914, 1477.2343966822789, 1474.5851473141245, 1471.9739194953925, 1474.4002181505518, 1476.7916465331903, 1479.7214105256542, 1477.610142728042, 1480.5284665226661, 1478.5691340902852, 1481.6366133644353, 1479.6620585111957, 1476.616738186066, 1478.613314236207, 1480.582387227247, 1478.2155618679135, 1475.882674477043, 1473.5831780403837, 1476.316524373441, 1479.4818371653523, 1477.604622076675, 1475.7526767670402, 1477.9075816309116, 1475.0321193865966, 1477.1972020851924, 1474.3820101645097, 1476.6067662525998, 1478.799939875439, 1480.9620763489422, 1478.8206416493276, 1476.7093359244307, 1479.6276224708167]",1480,76,86,4.0,0.0,0.0
12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/OAK.png&h=60,Athletics,AL West,"[1454.0245676738402, 1456.4774381209484, 1454.8913971004886, 1453.3250641288216, 1456.7780628702417, 1455.188271363804, 1458.3343939059976, 1461.4380703442675, 1459.499507914392, 1457.600943307799, 1460.7280514030708, 1458.8128017812023, 1456.3846381044714, 1453.9913733700394, 1451.6324653219003, 1449.747524662698, 1447.887999732677, 1451.0534097903562, 1453.7801327705388, 1456.4678855158513, 1459.1171348840057, 1461.7283627027377, 1459.3020640475784, 1456.91063566494, 1455.058176120994, 1458.2305176328293, 1456.3603031989983, 1454.5408627404329, 1452.745595952712, 1450.9740421814442, 1448.744119857692, 1446.5458685102851, 1449.3787424666398, 1447.1714872878238, 1445.3156538001315, 1443.4846853398017, 1441.6781098499066, 1439.4839492307394, 1437.3208429102901, 1435.1882481171613, 1437.859489783618, 1435.4924322347208, 1433.1593163602622, 1435.974508280945, 1433.7497521928549, 1431.5565785700157, 1429.3944420965124, 1426.9355523248862, 1424.5120286592787, 1427.1233325426458]",1427,57,105,0.0,0.0,0.0
13,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/SEA.png&h=60,Mariners,AL West,"[1552.239497054286, 1554.4197551706857, 1551.267849043101, 1548.15841445552, 1545.0912489493692, 1547.0661156852684, 1543.9199931430749, 1540.8163167048049, 1542.7548791346803, 1539.6037053226712, 1541.4949998675268, 1538.3607587708875, 1535.1871436971446, 1537.0560895453364, 1538.8999220124883, 1540.7848626716907, 1542.6443876017117, 1539.4789775440324, 1536.361877572098, 1538.2870858864485, 1540.1861205729317, 1542.0594737006122, 1544.5738465802463, 1542.0520354372136, 1539.5665153584982, 1537.1167581850555, 1534.1869941925916, 1536.2982619902036, 1533.3799381955796, 1535.9962072320857, 1538.5748830793907, 1536.1164709498437, 1533.1851828134327, 1530.294939411622, 1532.4453783634744, 1534.374513440936, 1536.2774012574102, 1538.1545349418207, 1535.6030777096403, 1533.0883318010863, 1530.6097752983806, 1533.0956945005948, 1535.545844909063, 1532.960761083662, 1535.2232820257027, 1532.4535781688573, 1529.7233341843564, 1527.4892193843368, 1525.2868472421994, 1528.1156718116272]",1528,85,77,40.0,3.0,1.2
