Season,cFIP
2022,3.125
2021,3.17
2020,3.191
2019,3.214
2018,3.161
2017,3.158
2016,3.147
2015,3.134
2014,3.132
2013,3.048
2012,3.095
2011,3.025
2010,3.079
2009,3.097
2008,3.132
2007,3.24
2006,3.147
2005,3.02
2004,3.049
2003,3.031
2002,2.962
2001,3.049
2000,3.134
1999,3.134
1998,3.139
1997,3.109
1996,3.172
1995,3.103
1994,3.131
1993,2.988
1992,2.783
1991,2.856
1990,2.808
1989,2.763
1988,2.769
1987,2.871
1986,2.771
1985,2.684
1984,2.768
1983,2.755
1982,2.717
1981,2.6
1980,2.752
1979,2.732
1978,2.585
1977,2.738
1976,2.633
1975,2.587
1974,2.578
1973,2.565
1972,2.399
1971,2.451
1970,2.638
1969,2.509
1968,2.385
1967,2.539
1966,2.554
1965,2.517
1964,2.605
1963,2.479
1962,2.617
1961,2.574
1960,2.527
1959,2.543
1958,2.475
1957,2.456
1956,2.369
1955,2.368
1954,2.398
1953,2.591
1952,2.391
1951,2.479
1950,2.584
1949,2.511
1948,2.657
1947,2.496
1946,2.384
1945,2.539
1944,2.539
1943,2.41
1942,2.418
1941,2.663
1940,2.835
1939,2.973
1938,2.924
1937,3.039
1936,3.264
1935,3.056
1934,3.12
1933,2.798
1932,3.018
1931,3.113
1930,3.501
1929,3.162
1928,2.901
1927,3.025
1926,2.914
1925,3.107
1924,3.039
1923,2.933
1922,3.009
1921,3.103
1920,2.749
1919,2.486
1918,2.229
1917,2.262
1916,2.315
1915,2.409
1914,2.436
1913,2.556
1912,2.849
1911,2.768
1910,2.322
1909,2.215
1908,2.101
1907,2.178
1906,2.366
1905,2.522
1904,2.418
1903,2.755
1902,2.665
1901,2.924
1900,2.827
1899,2.935
1898,2.766
1897,3.323
1896,3.425
1895,3.727
1894,3.929
1893,3.374
1892,2.53
1891,2.679
1890,2.968
1889,3.08
1888,2.659
1887,3.277
1886,3.101
1885,2.881
1884,3.269
1883,3.256
1882,2.764
1881,2.688
1880,2.533
1879,2.739
1878,2.536
1877,2.839
1876,2.233
1875,2.37
1874,2.808
1873,2.932
1872,3.508
1871,3.58